TotRmsAbvGrd,OverallQual,OverallCond,KitchenAbvGr,GarageCars,BedroomAbvGr,MoSold,HalfBath,Fireplaces,LotArea,EnclosedPorch,PoolArea,SalePrice
8,7,5,1,2,3,2,1,0,8450,0,0,208500
6,6,8,1,2,3,5,0,1,9600,0,0,181500
6,7,5,1,2,3,9,1,1,11250,0,0,223500
7,7,5,1,3,3,2,0,1,9550,272,0,140000
9,8,5,1,3,4,12,1,1,14260,0,0,250000
5,5,5,1,2,1,10,1,0,14115,0,0,143000
7,8,5,1,2,3,8,0,1,10084,0,0,307000
7,7,6,1,2,3,11,1,2,10382,228,0,200000
8,7,5,2,2,2,4,0,2,6120,205,0,129900
5,5,6,2,1,2,1,0,2,7420,0,0,118000
5,5,5,1,1,3,2,0,0,11200,0,0,129500
11,9,5,1,3,4,7,0,2,11924,0,0,345000
4,5,6,1,1,2,9,0,0,12968,0,0,144000
7,7,5,1,3,3,8,0,1,10652,0,0,279500
5,6,5,1,1,2,5,1,1,10920,176,0,157000
5,7,8,1,2,2,7,0,0,6120,0,0,132000
5,6,7,1,2,2,3,0,1,11241,0,0,149000
6,4,5,2,2,2,10,0,0,10791,0,0,90000
6,5,5,1,2,3,6,1,0,13695,0,0,159000
6,5,6,1,1,3,5,0,0,7560,0,0,139000
9,8,5,1,3,4,11,1,1,14215,0,0,325300
6,7,7,1,1,3,6,0,1,7449,205,0,139400
7,8,5,1,2,3,9,0,1,9742,0,0,230000
6,5,7,1,2,3,6,0,1,4224,0,0,129900
6,5,8,1,1,3,5,0,1,8246,0,0,154000
7,8,5,1,3,3,7,0,1,14230,0,0,256300
5,5,7,1,2,3,5,0,0,7200,0,0,134800
7,8,5,1,3,3,5,0,1,11478,0,0,306000
6,5,6,1,1,2,12,0,2,16321,0,0,207500
4,4,6,1,1,1,5,0,0,6324,87,0,68500
6,4,4,1,1,3,7,0,0,8500,172,0,40000
6,5,6,1,1,3,6,1,0,8544,0,0,149350
7,8,5,1,2,3,1,0,0,11049,0,0,179900
6,5,5,1,2,4,4,1,1,10552,0,0,165500
6,9,5,1,2,2,8,0,1,7313,0,0,277500
9,8,5,1,3,4,9,1,1,13418,0,0,309000
6,5,5,1,2,3,6,1,0,10859,0,0,145000
5,5,6,1,2,3,10,0,1,8532,0,0,153000
5,5,7,1,1,3,1,0,0,7922,0,0,109000
6,4,5,2,0,2,6,0,0,6040,0,0,82000
6,6,5,1,2,3,12,0,1,8658,0,0,160000
5,5,6,1,1,2,7,1,2,16905,0,0,170000
5,5,7,1,2,2,12,0,0,9180,0,0,144000
5,5,6,1,1,3,7,0,0,9200,0,0,130250
6,5,6,1,1,3,5,0,0,7945,0,0,141000
6,9,5,1,2,2,2,0,1,7658,0,0,319900
6,7,5,1,2,1,8,1,1,12822,0,0,239686
7,8,5,1,3,3,7,0,0,11096,0,0,249700
8,4,5,3,0,2,6,0,0,4456,102,0,113000
6,5,7,1,1,3,1,0,0,7742,0,0,127000
6,6,6,1,2,3,7,0,0,13869,0,0,177000
6,6,6,1,2,3,9,0,1,6240,0,0,114500
5,5,5,1,2,2,5,0,0,8472,0,0,110000
5,9,5,1,3,0,11,1,1,50271,0,0,385000
6,5,5,1,2,3,2,0,1,7134,0,0,130000
7,6,5,1,2,3,7,0,1,10175,0,0,180500
7,8,5,1,2,3,8,1,0,2645,0,0,172500
7,7,5,1,2,3,8,1,0,11645,0,0,196500
10,10,5,1,3,3,10,1,1,13682,37,0,438780
4,5,7,1,1,2,1,0,0,7200,0,0,124900
5,6,5,1,2,3,5,1,0,13072,0,0,158000
6,5,7,1,1,3,3,0,0,7200,144,0,101000
6,8,5,1,2,2,10,0,1,6442,0,0,202500
9,7,6,1,2,3,4,0,0,10300,64,0,140000
8,7,5,1,2,3,2,1,0,9375,0,0,219500
9,8,5,1,3,4,10,1,1,9591,0,0,317000
7,7,5,1,2,3,7,0,1,19900,0,0,180000
7,7,5,1,2,3,6,0,0,10665,0,0,226000
4,4,6,1,1,2,6,0,0,4608,0,0,80000
